parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
352,2975.1,93,260,8,direct,rf2_s16_
512,3190.8,140,302,8,direct,rf2_s16_
32,2172.7,6,24,8,direct,rf2_s16_
672,3530.1,174,389,8,direct,rf2_s16_
832,3744.8,200,408,8,direct,rf2_s16_
192,2730.3,41,188,8,direct,rf2_s16_
352,2637.9,114,299,8,direct,rf4_s16_
512,2843.7,170,372,8,direct,rf4_s16_
32,1827.9,8,79,8,direct,rf4_s16_
672,2937.0,207,446,8,direct,rf4_s16_
832,3161.5,238,519,8,direct,rf4_s16_
192,2343.6,49,198,8,direct,rf4_s16_
352,9353.5,13,193,8,direct,rf4_s2__
512,11011.0,15,217,8,direct,rf4_s2__
32,4390.9,4,9,8,direct,rf4_s2__
672,11903.3,18,241,8,direct,rf4_s2__
832,13007.4,27,237,8,direct,rf4_s2__
192,8802.6,8,127,8,direct,rf4_s2__
352,55251.9,3,13,8,direct,rf8_s1__
512,55144.8,5,22,8,direct,rf8_s1__
32,11041.7,1,4,8,direct,rf8_s1__
672,55333.7,6,32,8,direct,rf8_s1__
832,56437.9,7,43,8,direct,rf8_s1__
192,50563.7,1,6,8,direct,rf8_s1__
