parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards
80,9061.2,6,20,92,direct,rf4_s1__
88,9085.2,6,23,92,direct,rf4_s1__
96,9141.6,7,26,92,direct,rf4_s1__
104,9048.5,7,29,92,direct,rf4_s1__
112,9245.0,8,30,92,direct,rf4_s1__
120,9122.1,8,34,92,direct,rf4_s1__
128,9244.0,8,37,92,direct,rf4_s1__
136,9224.0,9,38,92,direct,rf4_s1__
144,9162.1,9,42,92,direct,rf4_s1__
152,9141.1,10,46,92,direct,rf4_s1__
8,2588.3,1,5,92,direct,rf4_s1__
160,9050.7,10,50,92,direct,rf4_s1__
16,5843.8,1,3,92,direct,rf4_s1__
24,7662.8,1,4,92,direct,rf4_s1__
32,7409.1,2,7,92,direct,rf4_s1__
40,8205.3,3,8,92,direct,rf4_s1__
48,8839.2,3,10,92,direct,rf4_s1__
56,8868.2,4,13,92,direct,rf4_s1__
64,8964.7,4,15,92,direct,rf4_s1__
72,8953.9,5,18,92,direct,rf4_s1__
160,8734.4,10,58,94,direct,rf4_s1__
176,8669.0,10,66,94,direct,rf4_s1__
192,8664.5,11,76,94,direct,rf4_s1__
208,8790.4,11,82,94,direct,rf4_s1__
224,8777.0,12,89,94,direct,rf4_s1__
240,8734.9,13,105,94,direct,rf4_s1__
256,8681.4,13,118,94,direct,rf4_s1__
272,8705.9,14,119,94,direct,rf4_s1__
288,8684.8,15,140,94,direct,rf4_s1__
304,8725.8,14,153,94,direct,rf4_s1__
16,2728.8,3,14,94,direct,rf4_s1__
320,8700.4,16,157,94,direct,rf4_s1__
32,7571.5,2,8,94,direct,rf4_s1__
48,8364.4,3,12,94,direct,rf4_s1__
64,8485.6,4,18,94,direct,rf4_s1__
80,8545.7,5,25,94,direct,rf4_s1__
96,8573.7,6,32,94,direct,rf4_s1__
112,8715.9,7,37,94,direct,rf4_s1__
128,8689.0,8,44,94,direct,rf4_s1__
144,8710.6,8,52,94,direct,rf4_s1__
